algorithm,input,n,time_ns,comparisons,max_depth
MergeSort,random,1000,561400,9493,8
MergeSort,random,10000,1491300,127067,11
MergeSort,random,100000,8779700,1639677,14
MergeSort,random,1000000,103904900,19890782,18
MergeSort,sorted,1000,16200,4236,8
MergeSort,sorted,10000,182000,59248,11
MergeSort,sorted,100000,1974300,744016,14
MergeSort,sorted,1000000,19373600,9071040,18
MergeSort,duplicates,1000,67500,9163,8
MergeSort,duplicates,10000,346600,121427,11
MergeSort,duplicates,100000,3830700,1561203,14
MergeSort,duplicates,1000000,45511000,18924463,18
QuickSort,random,1000,345400,17133,7
QuickSort,random,10000,1111000,260578,10
QuickSort,random,100000,11887000,3000324,12
QuickSort,random,1000000,143156100,37556124,14
QuickSort,sorted,1000,69100,16956,7
QuickSort,sorted,10000,739400,249502,9
QuickSort,sorted,100000,8603800,2983545,11
QuickSort,sorted,1000000,99235300,39917740,14
QuickSort,duplicates,1000,16800,5023,3
QuickSort,duplicates,10000,152900,39158,4
QuickSort,duplicates,100000,1672200,370417,3
QuickSort,duplicates,1000000,15418900,4996730,3
QuickSelect,random,1000,12400,5906,0
QuickSelect,random,10000,112900,65172,0
QuickSelect,random,100000,1046400,783661,0
QuickSelect,random,1000000,8570200,6141724,0
QuickSelect,sorted,1000,4300,3461,0
QuickSelect,sorted,10000,40800,33363,0
QuickSelect,sorted,100000,341700,371919,0
QuickSelect,sorted,1000000,3840000,3306221,0
QuickSelect,duplicates,1000,10800,3365,0
QuickSelect,duplicates,10000,80300,50003,0
QuickSelect,duplicates,100000,761500,430265,0
QuickSelect,duplicates,1000000,5905600,2300928,0
